event-id,visible,timestamp,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
9421376872,true,2009-08-09 05:30:00.000,31.2755,-25.03209,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376871,true,2009-08-09 05:00:00.000,31.27501,-25.03192,18,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366104,true,2009-08-09 04:30:00.000,31.79295,-24.72889,24,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376870,true,2009-08-09 04:30:00.000,31.27354,-25.03198,18,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376869,true,2009-08-09 04:00:00.000,31.2729299999999,-25.03178,18,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376868,true,2009-08-09 03:30:00.000,31.27306,-25.03196,18,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376867,true,2009-08-09 03:00:00.000,31.27307,-25.03209,17,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366103,true,2009-08-09 01:32:00.000,31.79214,-24.7284,23,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421366102,true,2009-08-09 01:00:00.000,31.79192,-24.7284399999999,23,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376866,true,2009-08-09 01:00:00.000,31.27186,-25.03159,16,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366101,true,2009-08-09 00:30:00.000,31.79211,-24.72813,23,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376865,true,2009-08-09 00:30:00.000,31.26938,-25.0309199999999,17,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366100,true,2009-08-09 00:01:00.000,31.79276,-24.7274999999999,23,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376864,true,2009-08-09 00:00:00.000,31.26877,-25.03098,17,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376863,true,2009-08-08 23:30:00.000,31.2661,-25.0311799999999,18,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376862,true,2009-08-08 23:01:00.000,31.26455,-25.03159,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366099,true,2009-08-08 22:31:00.000,31.79383,-24.72678,24,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376861,true,2009-08-08 22:30:00.000,31.2645899999999,-25.03159,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376860,true,2009-08-08 22:00:00.000,31.2646599999999,-25.0315599999999,20,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376859,true,2009-08-08 21:30:00.000,31.26455,-25.03151,21,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376858,true,2009-08-08 21:00:00.000,31.2639,-25.03151,22,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366098,true,2009-08-08 20:30:00.000,31.7935799999999,-24.7257199999999,27,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376857,true,2009-08-08 20:30:00.000,31.26319,-25.0313799999999,23,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
